CONTROL,VIV_SEL,HOGAR,R_SEL,FAC_ELE
0140206,02,01,01,000150
0140206,03,01,01,000600
0140206,04,01,02,000450
0140206,05,01,02,000450
0140207,01,01,01,000340
0140207,02,01,01,000340
0140207,03,01,02,000510
0140207,04,01,01,000170
0140207,05,01,01,000680
0140208,02,01,01,000187
0140208,04,01,01,000374
0140208,05,01,03,000561
0140211,01,01,03,000507
0140211,02,01,01,000338
0140211,03,01,04,000507
0140211,04,01,02,000507
0140211,05,01,02,000338
0140212,01,01,02,000352
0140212,02,01,01,000352
0140212,03,01,01,000176
0140212,04,01,04,000704
0140212,05,01,02,000352
0140213,01,01,02,000304
0140213,02,01,01,000152
0140213,03,01,01,000304
0140213,04,01,02,000456
0140213,05,01,01,000152
0140216,01,01,02,000531
0140216,03,01,01,000354
0140216,04,01,01,000531
0140216,05,01,01,000354
0140219,01,01,01,000358
0140219,02,01,01,000895
0140219,03,01,02,000537
0140219,04,01,02,000358
0140219,05,01,01,000179
0140220,01,01,01,000561
0140220,02,01,03,000561
0140220,03,01,01,000374
0140220,04,01,02,000935
0140220,05,01,02,000561
0140224,01,01,02,000366
0140224,02,01,01,000366
0140224,03,01,01,000183
0140224,04,01,01,000366
0140224,05,01,01,000183
0140225,01,01,01,000197
0140225,03,01,01,000197
0140225,04,01,01,000197
0140225,05,01,02,000394
0140231,02,01,01,000340
0140231,03,01,02,000340
0140231,04,01,01,000170
0140231,05,01,01,000340
0140232,01,01,02,000562
0140232,03,01,02,000562
0140232,04,01,01,000562
0140232,05,01,03,000843
0140233,01,01,03,000960
0140233,03,01,02,000576
0140233,04,01,01,000384
0140233,05,01,01,000192
0140234,01,01,03,000704
0140234,02,01,01,000528
0140234,03,01,02,000880
0140234,04,01,01,000528
0140234,05,01,01,000352
0140235,01,01,02,000648
0140235,02,01,02,000324
0140235,04,01,01,000486
0140236,01,01,02,000360
0140236,02,01,03,000540
0140236,03,01,01,000360
0140236,04,01,03,000720
0140236,05,01,02,000360
0140238,01,01,02,000612
0140238,02,01,01,000408
0140238,03,01,02,000612
0140238,04,01,01,000204
0140238,05,01,04,000816
0140239,01,01,05,000728
0140239,02,01,02,000364
0140239,03,01,02,000364
0140239,04,01,02,000364
0140239,05,01,02,000546
0140246,01,01,04,001268
0140246,02,01,03,001902
0140246,03,01,01,000634
0140246,04,01,04,000951
0140246,05,01,01,000634
0140249,01,01,01,000190
0140249,02,01,04,000760
0140249,03,01,01,000380
0140249,05,01,02,000570
0140250,01,01,02,000384
0140250,02,01,02,000384
0140250,03,01,02,000384
0140250,04,01,01,000384
0140250,05,01,01,000384
0140251,01,01,02,000422
0140251,02,01,03,000633
0140251,03,01,01,000422
0140251,04,01,02,000422
0140251,05,01,02,000633
0140257,01,01,02,000440
0140257,02,01,01,000440
0140257,03,01,01,000440
0140257,04,01,02,000440
0140257,05,01,03,000660
0140258,01,01,01,000165
0140258,02,01,02,000660
0140258,03,01,02,000495
0140258,03,02,02,000330
0140258,04,01,02,000330
0140259,01,01,06,001337
0140259,02,01,01,000191
0140259,03,01,02,000764
0140259,04,01,03,000764
0140259,05,01,04,001146
0140260,01,01,01,000925
0140260,02,01,01,000185
0140260,05,01,05,000925
0140262,01,01,03,000716
0140262,03,01,02,000537
0140262,04,01,01,000358
0140262,05,01,01,000358
0140263,01,01,01,000512
0140263,02,01,02,000512
0140263,03,01,01,000512
0140263,05,01,01,000512
0140264,01,01,03,001169
0140264,02,01,02,000334
0140264,03,01,02,000668
0140264,04,01,01,000167
0140264,05,01,01,000334
0140266,01,01,02,000518
0140266,02,01,01,000259
0140266,03,01,03,001295
0140266,04,01,01,000777
0140266,05,01,02,000518
0140267,01,01,02,000700
0140267,03,01,02,000525
0140267,04,01,01,000700
0140267,05,01,02,000700
0140269,01,01,02,000364
0140269,02,01,03,000728
0140269,03,01,01,000182
0140269,04,01,01,000364
0140269,05,01,01,000364
0140270,01,01,02,000418
0140270,02,01,02,000418
0140270,05,01,01,000209
0140271,01,01,01,000507
0140271,02,01,02,000338
0140271,03,01,01,000169
0140271,04,01,03,000676
0140271,05,01,01,000169
0140272,02,01,02,000447
0140272,03,01,04,000447
0140272,04,01,01,000298
0140272,05,01,01,000298
0140277,01,01,01,000744
0140277,02,01,03,000744
0140277,03,01,02,000372
0140277,04,01,01,000372
0140277,05,01,02,000558
0140278,01,01,02,000362
0140278,02,01,03,000543
0140278,03,01,01,000181
0140278,04,01,03,000362
0140278,05,01,01,000362
0140279,01,01,04,000915
0140279,02,01,01,000366
0140279,03,01,01,000366
0140279,04,01,03,001098
0140279,05,01,02,000366
0140281,01,01,01,000184
0140281,03,01,02,000368
0140281,04,01,03,000552
0140281,05,01,04,000736
0140282,02,01,01,000181
0140282,03,01,02,000362
0140282,04,01,01,000724
0140282,05,01,01,000362
0140283,01,01,02,000344
0140283,02,01,03,000516
0140283,03,01,01,000344
0140283,04,01,01,000516
0140283,05,01,01,000172
0140284,01,01,02,000366
0140284,03,01,01,000366
0140284,04,01,01,000183
0140284,05,01,01,000915
0140287,01,01,01,000603
0140287,02,01,01,000402
0140287,03,01,02,000402
0140287,04,01,01,000201
0140287,05,01,02,000402
0140288,01,01,01,000308
0140288,02,01,01,000308
0140288,03,01,02,000462
0140288,04,01,03,000616
0140288,05,01,01,000462
0140297,01,01,01,000152
0140297,02,01,01,000304
0140297,04,01,02,000608
0140297,05,01,02,000608
0140298,01,01,01,000165
0140298,02,01,08,001485
0140298,03,01,01,000825
0140298,04,01,03,000660
0140298,05,01,04,000660
0140299,01,01,01,000352
0140299,02,01,03,000528
0140299,03,01,02,000880
0140299,04,01,01,000528
0140300,02,01,01,000720
0140300,03,01,02,000360
0140300,05,01,02,000360
0140301,01,01,01,000492
0140301,03,01,01,000328
0140301,04,01,02,000492
0140301,05,01,02,000492
0140302,01,01,02,000260
0140302,02,01,01,000260
0140302,03,01,01,000260
0140302,04,01,02,000520
0140302,05,01,02,000260
0140303,01,01,01,000384
0140303,03,01,01,000384
0140303,04,01,02,000576
0140303,05,01,02,000576
0140304,01,01,03,000429
0140304,02,01,04,000572
0140304,03,01,02,000286
0140304,04,01,01,000286
0140304,05,01,01,000286
0140305,01,01,04,000676
0140305,02,01,04,001014
0140305,03,01,02,000338
0140305,04,01,03,000845
0140305,05,01,03,000507
0140306,01,01,01,000190
0140306,02,01,01,000760
0140306,03,01,01,000570
0140306,04,01,01,000760
0140306,05,01,02,000380
0140307,01,01,02,000320
0140307,02,01,02,000320
0140307,03,01,01,000480
0140307,04,01,02,000480
0140307,05,01,01,000320
0140308,01,01,02,000546
0140308,02,01,01,000364
0140308,03,01,01,000364
0140308,04,01,02,000364
0140308,05,01,03,000546
0140310,01,01,04,000875
0140310,02,01,02,000350
